案號,類別,日期,問題,答案,來源網址
003081,食品安全,2025/09/22,"外銷(日本)蔬菜(結萵,甘藍,甘藍,....等)之農藥使用參考基準何時上線？","有關毛豆部分已於今年4月更新多國用藥基準，其他蔬菜部分後續將於日本標準有重大異動時再不定時更新。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=99d0c69815584068df167d00a2351b11
003080,藥毒物檢驗,2025/09/18,有關農藥殘留檢驗取樣部位之規範，已知道查詢「農藥田間試驗準則-農藥殘留量試驗各類作物樣品前處理之取樣部位」，各類農產品取樣部位採表列方式，也知道果菜類屬於該取樣部位表列第六類：果菜、蕈菜或瓜果類，取樣...,"1. 關於農藥殘留量試驗的樣品前處理，其取樣部位參照「農藥田間試驗準則-農藥殘留量試驗各類作物樣品前處理之取樣部位」中表格所列。若表格有詳細載明需去除的部位，可依據所載內容進行取樣。表格未載明需去除的部位者，以該農產品在市面上販售時的完整狀態分析。
2.綜上所述，果菜類（番茄、茄子、辣椒）等作物，於農藥殘留檢驗時，「以整顆果實進行取樣，不切除蒂頭」。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=11bdbf0f09aa520be068a711f1f0dc80
003079,作物健康管理與諮詢,2025/09/18,種植盆栽植物（例如：酪梨、桂花、青菜，非大面積種植），是否有必要施肥或用藥？,"作物在種植盆栽的過程中也會遇到營養及病蟲害問題，目前坊間園藝業者都有在販售一些小量且居家可使用的液肥產品(如花寶)，或是非化學防治資材(如油劑等)，在營養嚴重缺乏或是病蟲害很嚴重的時期都可以適度使用，以免影響植物的生長。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=0778ab37f5460d88bb2b636eb3b32d02
003078,農藥管理,2025/09/16,如何查詢台灣個別農藥使用量統計？,"可至農業部「農業統計查詢網」（https://agrstat.moa.gov.tw/sdweb/public/official/OfficialInformation.aspx），於報表名稱欄位輸入「農藥」，即可下載「農藥產銷量值」相關資料，其內容涵蓋殺蟲劑、殺菌劑、除草劑等不同類型農藥的產銷量，能提供概括性的參考。此外，亦可參考「農藥一路發」網站（民間平台，非官方網站：http://www.ag168.com/），該網站提供部分年度臺灣主要農藥之銷售量資料。若您需要更進一步的各別農藥使用量統計，建議可請逕洽詢動植物防疫檢疫署，以取得更完整的資訊。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1192f57e64063527a8e5461a021f5f6a
003077,藥毒物檢驗,2025/09/10,農藥檢驗之果菜類（番茄、辣椒、甜椒、茄子等）取樣時是否須去除蒂頭？,"有關農藥殘留檢驗取樣部位之規範，可上網搜尋「農藥田間試驗準則-農藥殘留量試驗各類作物樣品前處理之取樣部位」，各類農產品取樣部位採表列方式，您所提果菜類屬於該取樣部位表列第六類：果菜、蕈菜或瓜果類，取樣部位為整顆果實取樣。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ddb0dd2b4fbc7a49495561ec25a12e92
003076,教育推廣,2025/09/03,如何查詢作物使用除草藥劑？,"可在植物保護資訊系統的「進階功能」查詢(連結：https://otserv2.acri.gov.tw/PPM/PLC03.aspx)，依序輸入作物及害物名稱，例如：在「作物」欄位輸入「胡瓜」；在「害物」欄位輸入「雜草」。再按下「搜尋」鍵，即可查看登記可用於防除胡瓜雜草的除草劑及其使用方法。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=77b163412694f762a48ec5bd1f02db2f
003075,作物健康管理與諮詢,2025/09/03,蘭花葉片基部有黃化，新長的葉片會出現條狀的咖啡色結痂，新長的花梗會呈現黃色，如何處理？,"有關蘭園裡面葉片基部黃化、新葉出現條狀的咖啡色結痂、新生的花梗呈現黃色等徵狀非常均勻，有可能是施用肥料、農藥或其他化學物質造成的。另經電話聯繫瞭解使用藥劑及肥料情形後，建議可提供正常之蘭花植株(至少2-3個品種為佳)，將協助測試。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=61a86e1e8911d3a64b249c5e6dacf083
003074,農藥管理,2025/09/03,請問小菜蛾目前有性費洛蒙誘引劑可使用嗎？之前曾看過興農有推出香來蛾，但市面上找不到，是否有其他推薦商品？,"有關國內的小菜蛾性費洛蒙誘引劑，目前只有興農公司取得農藥許可證，尚無其他可用的小菜蛾性費洛蒙產品。建議可前往本所「生物農藥暨生物天敵防治查詢平台」(網址：https://ipm.acri.gov.tw/biol/search.aspx)，輸入「小菜蛾性費洛蒙」即可查詢生物農藥廠商提供的販售通路，可點選地址連結至Google導航，提醒購買前可依據Google導航刊登販售店的聯絡方式，先行詢問是否有營業及是否尚有該銷售產品。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=5eb021103a0cbdcc8c8c280804ffb5e7
003073,農藥管理,2025/08/26,"標註為僅供科研用途，作為組織培養實驗用的6BA,INA等試劑溶液，是否屬於農藥管理法所規定之農藥原體？是否可用網路售賣？","依據農藥管理法第5條，農藥原體係指用以加工成品農藥所需之有效成分原料，而成品農藥則是用於農藥用途之產品。雖然有些農藥之有效成分原料，若具農藥用途外其他廣泛用途，則此類化工原料無需農藥原體登記，但若要直接作為農藥使用或調配稀釋作為農藥使用者仍須登記。若6BA (苄寧激素，6-BENZYLAMINOPURINE), INA (萘乙酸，α-Napthaleneacetic Acid) 作為組織培養實驗用途，並標註為僅供科研用途，應不在農藥管理法的管理範疇。但是否可於網路販售此類試劑溶液，建議洽詢農藥主管機關-農業部動植物防疫檢疫署進行確認。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ef4d9a561e2602bf71d5e22de2493a7f
003072,農藥管理,2025/08/08,非農業相關科系畢業可否報考農藥管理人員訓練？,"有關農藥管理人員資格訓練【學歷條件為：專科以上畢業】始可報名114年農藥管理人員資格訓練，參訓者需具備資格及報名訊息如下說明供參：1.(1)「非相關」科系(120小時訓練)：公立或立案之私立專科以上學校或符合教育部採認規定之國外、大陸、香港或澳門地區專科以上學校畢業之證明文件。(2)「植物保護相關」科系(80小時訓練)：公立或立案之私立專科以上學校或符合教育部採認規定之國外、大陸、香港或澳門地區專科以上學校昆蟲、植物保護、植物醫學、植物病理、植物病理與微生物、植物病蟲害等植物保護相關各院、系、科、組、所、學位學程畢業，或於學歷證明文件載為輔系者，可抵免（40小時）基礎課程。2.請先確認專科學歷資格後歡迎報名參加訓練。3.如有任何疑問，請來電洽詢，04-23302101分機191馬小姐。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=0801d9e3a781190e6115ecaeef1e4a1e
003071,藥毒物檢驗,2025/08/08,是否可提供海水與河川水體中農藥殘留檢測分析服務？,"本所可執行水體中多重農藥殘留分析，然無開放委託檢驗。可經由研究計畫合作方式協助貴單位樣品分析，若合作計畫成立，將一併提供檢驗項目清單與偵測極限。進一步的討論，可電洽本所04-23302101轉412江小姐洽詢。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=fec90c411c6c405a57d6ed749fcc0465
003070,作物健康管理與諮詢,2025/07/23,豆蘭蘭花之蟲害為何？,"有關蘭花蟲害種類繁多，各試驗場所有很多官方資源可查詢，例如防檢署於網路上發布的資料，或許可以多加利用。https://www.aphia.gov.tw/Publish/plant_protect_pic_6/orchidPDF/03-0.pdf 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=2f7800359b82cb0dbb49d935b7168e8e
003069,藥毒物檢驗,2025/07/23,咖啡生豆中，歷史記錄中農藥殘留達特南機率高嗎？是否有驗出過的記錄？會不會其他農藥化學變化造成，或者施用後在土壤或者植物代謝而殘留呢？,"有關達特南非國內咖啡之核准使用藥劑，但曾有極少數的檢出違規紀錄。達特南為系統性農藥，使用後可能滲透或移行，但不會由其他藥劑代謝轉換而造成達特南殘留檢出。咖啡非國內主要作物，目前並無進一步區隔咖啡生豆、熟豆之年度檢測報告。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=3344087475f7b4d13ddc0c5e72f937ef
003068,作物健康管理與諮詢,2025/07/23,肖楠樹大約有300棵，目前陸續有幾棵如圖片所示脫皮導致整株黃葉死亡。目測沒有看到蟲，如何判斷病因？,"從照片及描述的情形初步研判可能是褐根病。因沒有檢視地際部，可先稍微觀察一下是否在地際部處有白色菌絲，或樹皮剝開在木材上有褐色絲狀的構造。若植株已得到褐根病基本上建議挖除，並以尿素加石灰進行土壤處理。若願意寄送樣本，請挖取植株地際部或根部並與本所診斷中心聯繫(04)33662101#357。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1cbc1801cec27272cace2e425ea1725a
003067,作物健康管理與諮詢,2025/07/23,附圖的葉萵苣病害為何？相關防治方法？,"從照片初步研判不太像是病害，可思考是否前陣子有施用過多肥料，另觀察病斑是否有從中下位葉向上擴散，或是新生部位皆無異常徵狀。有時施用過多肥料可能會造成肥傷，需合理化施肥以免造成植株營養失衡。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=500059c46e4c32f9be50483cf7dc4f82
003066,農藥管理,2025/07/21,植物保護管理系統上的資訊是否可授權公開重製或供商業用途？,"有關本所植物保護資訊系統之資料使用事宜。目前僅供一般查詢及學術或非營利性質參考使用，並未授權重製或作為商業用途。若有其他相關需求或進一步問題，歡迎與我們聯繫。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=31fb5cf0539f3cd698ce457133f695f3
003065,病蟲害防治,2025/07/21,阿巴汀是否能延伸使用在番石榴？,"1.目前阿巴汀不能使用在番石榴上，一旦被驗出即違反農藥管理法會被裁罰的。
2.如為防治蟎類，有相同作用機制的密滅汀登記使用在番石榴上，可以推薦農友使用合法登記的藥劑種類。
3.若要申請延伸使用範圍，可透過農會或當地政府去函防檢署提出申請，後續需經評估延伸登記的必要性，是否有限制擴大使用，每人每日攝食總量是否快達上限值，是否有藥效相關報告，是否有殘留消退試驗報告可評估安全採收期等，通過後才會核准。雖然阿巴汀在小漿果類上有容許量標準，但農方沒有公告可使用在番石榴上，是屬違法的。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=79ba319287af7b4ae9085f0909f46cf8
003064,藥毒物檢驗,2025/07/11,農藥殘留質譜快檢這個方法有符合經衛生福利部食品藥物管理署公告檢驗方式嗎？,"一、有關質譜快檢技術為衛生福利部食品藥物管理署「建議檢驗方法」業務專區公開的檢驗方法，可用於業者自主進出貨管理或果菜批發市場拍賣前產品檢驗，可查詢該專區「食品中殘留農藥之檢驗方法－質譜快速篩檢技術(TFDAP0013.00)」。
二、有關食藥署檢驗方法之制定係依「衛生福利部食品藥物管理署檢驗方法訂定程序」辦理，可分為公告檢驗方法及建議檢驗方法，檢驗方法草案經審查後，須公告者，先預告60天，收集各界意見，後經「食品檢驗方法諮議會」諮議，公開為公告檢驗方法；不公告者，則公開為建議檢驗方法，供各界參考引用。
三、如對質譜快檢技術還有任何問題，歡迎來電:04-23302101轉412 施先生。 
文件
 
1140708-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=e48b50d81fec30a674fb03fca09f8817
003063,農藥毒理與準則,2025/07/11,"農藥不純物含量範圍需要補充出生前發育毒性試驗，過去的原則是按照 OECD 414進行試驗；近期國際上考慮動物福祉，對於毒理試驗普遍採用3Rs(Replacement, Reduction,Refine...","有關本所開發的「篩檢」技術減少動物實驗(如附件)，2周確認致畸胎性，確實符合「3R原則」的出生前發育毒性篩檢技術，並已對外發表相關成果。此技術主要是針對農藥及其不純物或代謝物進行篩選性安全評估之需求，以及對動物福祉的重視。然而，此一方法定位在篩檢功能，而非適合使用於管理單位登記用之試驗報告，目前國內外的農藥法規，對於毒理試驗仍普遍要求提交依循國際指引，並在「優良實驗室操作規範(GLP)」下執行的試驗報告。因此，現階段尚無法直接取代法規所要求的GLP試驗，作為毒理審查出生前發育毒性的必要提交項目。 
文件
 
1140702-01-01-02DeptFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=89a26a83a2135716f9ba1bf5cc3cf615
003061,農作物污染,2025/07/09,依滅草誤噴於茶園怎麼辦？,"經查依滅草對茶等灌木具有毒性，且葉部與根部均會吸收，並累積於分生組織，造成新葉黃化及組織壞死等徵狀，並無可解決方法，故除草劑多會標註不可噴及作物等警語。倘誤用劑量較低，茶樹應不至於死亡，惟仍可能會有藥害徵狀產生，建議保持良好肥培及病蟲害管理以維持樹勢，將傷害減低。另依滅草未核准使用於茶園防除雜草，請勿使用以免發生藥害及違規用藥情事。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=9ccd62f3cc49fe15d6847d2c16f066dd
003060,作物健康管理與諮詢,2025/07/09,附圖照片病害如何處置？,"從照片上可見葉片產生黑色小細斑處非常均勻的在葉肉上生長，若為病害病斑較有可能不規則排列，故研判為非病蟲害因子。請持續觀察異常徵狀是否有擴大蔓延，或是是否新長出來的葉片有持續產生一樣的徵狀以利後續再診斷。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ff2ca6154c27bf35ae12357dc951efa3
003059,農藥品質,2025/07/04,USEPA試驗之顏色、物理狀態、氣味感官測試是如何進行？需要多少檢品？檢測費用以及委託檢驗為何？,"本所參照USEPA試驗指引OPPTS 830.6302 Color; 830.6303 Physical State; OPPTS 830.6304 Odor進行顏色、物理狀態、氣味測試。依據測試指引，樣品量一般需要20公克固體或50毫升液體。農藥登記才需要由GLP(優良實驗室規範)實驗室進行上述項目測試，若僅是品管目的則沒有GLP之要求。檢測費用及委託程序請查閱本所委託試驗網頁(https://www.acri.gov.tw/Category/Items/%E4%BE%BF%E6%B0%91%E6%9C%8D%E5%8B%99)，如需委託，請先聯繫理化實驗室窗口 (電話04-23302101分機806或831)。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=144dbf8a6aa41ce85eff5e777fb7dbf4
003058,作物健康管理與諮詢,2025/07/02,油茶新植半年內種在平地，發現植株病變，是缺水或其他原因？,"從照片研判可能為營養障礙，因葉緣焦枯的部位都發生在新葉末端，可能是缺鐵或其他微量元素。建議您可先將土壤送樣至就近的農業改良場進行土壤檢測，以瞭解是否需要補充相關的肥料或其他肥培管理。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=999dd5f1725a1f410616b28f8b309286
003057,作物健康管理與諮詢,2025/06/23,附圖是甚麼症狀？套袋時才會發生。,"本案從照片來看不像是病害，關於此徵狀需釐清下列情形(1)果實切開後是否果肉有發黑(2)近期田區是否有在果實上使用氮肥。此類徵狀較有可能為生理病害，如缺硼徵狀，或因中果期施用氮肥導致果肉發育速度快過果皮而使果皮崩裂。另也可注意是否在不過度施用肥料後果實徵狀有改善情形。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=fd52f587ff92f5269a02e4bb62abcbac
003056,作物健康管理與諮詢,2025/06/23,種植的土紅菓篸成株一週內枯萎，可否寄樣檢測嗎？,"有關植株枯萎有很多可能的原因，但通常與根部受傷的缺水萎凋有關，可先把地際部的土挖開觀察根部是否不完整且有發黑發臭的情形。若要詳細釐清徵狀可就所在的縣市進行樣本的採樣與檢送，另若要郵寄建議冷藏且採樣袋內須保濕。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=267d8b952f94b9e04eb91bfc70240764
003055,藥毒物檢驗,2025/06/05,芒果送檢至貴所，為何無法線上繳費？,"本所為改善技術服務申請及繳費問題，本(114)年度刻正開發技術服務線上申請單一入口平台及線上列印繳款單功能，預計於115年1月1日上線，屆時可直接線上申請檢驗等多種服務項目，並可透過臺灣PAY、eBill全國繳費網及臨櫃等多種方式繳款。此外，系統上線後，可線上進行個人化案件管理及查詢，繳款完成後隔日亦可線上列印繳費憑證。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=67819c20df4b26ecd6b21f597227bf11
003052,教育推廣,2025/05/22,如何報名室內燻蒸技術人員訓練？,"有關「報名室內燻蒸技術人員」，本所說明如下：
一、本(114)年度之各農藥代噴專業訓練課程辦班規劃，係依據去年(113)意願需求等調查後於當年底送至主管機關防檢署審查核備並據以辦理；關於專業室內設施燻蒸(磷化氫)訓練，業已於本(114)年度3月27日辦理完成；若有【專業室內燻蒸】需求，請填寫【115年參訓意願實名制調查單】：https://eform.moa.gov.tw/s9pd7f4，俾利今年底規劃115年代噴專業科目訓練課程時，視市場實際之代噴需求安排規劃課程。
二、另提醒若要上「代噴專業技術科目訓練(專業室內燻蒸)」尚需完成「代噴共同科目訓練」並測驗及格，且依目前訓練辦法規定共同科目訓練及格者需於二年內完成專業技術科目測驗及格，逾期應重新訓練，請多加注意效期。
三、詳細訓練資訊可參考【本所官網-教育訓練】：https://reurl.cc/OjLKmv； 或來電04-23302101分機116  唐先生詢問。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=f142354c2ff63d2972c0593a51b654d5
003051,作物健康管理與諮詢,2025/05/22,長壽花之葉片徵狀是否為病蟲害？,"從照片研判應為病原菌感染，葉片可見壞疽斑上有一點同心圓狀的徵狀，且周圍有黃暈現象，應當是真菌感染，但僅從照片無法研判詳細種類。若此為居家盆栽建議可直接移除病葉，並適度補充微量元素等肥料，增加植物的抵抗力，另外室內環境要注意通風問題。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ecb317f3d103670748cc8782097cd286
003050,病蟲害防治,2025/05/20,廣島菜被夜行性毛毛蟲吃掉了，這是什麼蟲？該如何防治？,"從提供的照片判斷應是蛾類幼蟲，主要的特徵包括：(1)具咀嚼式口器，(2)胸足3對，(3)體色深褐色，(4)各體節有成叢的深褐色刺毛。這些特徵符合燈蛾的幼蟲。國內有紀錄的燈蛾種類將近200種，寄主植物多樣。燈蛾幼蟲的刺毛可能引發人體過敏，建議不要碰觸。另外減少燈蛾族群，可以：(1)以紗網隔離您種植的植株，阻止成蟲產卵。(2)或在夜間利用燈光誘集，下方放置水盆(建議加數滴洗碗精)，再將誘到的成蟲清除即可。或考量施用防治「十字花科小葉菜類 鱗翅目害蟲」的藥劑(資訊來源：防檢署 農藥資訊服務網 https://pesticide.aphia.gov.tw/information/Query/BugFarmUserange/'flag=&farm=C0607&bug=A01)，如：庫斯蘇力菌ABTS-351、鮎澤蘇力菌ABTS-1857、鮎澤蘇力菌NB-200、苦參鹼等，至於施藥方法(劑量、間隔與次數)與安全採收期，請依據藥劑的標示來使用。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c7582448bd547e140c120fd23762b76f
003049,生物農藥,2025/05/16,如何購買甘薯蟻象蟲費洛蒙餌劑？,"目前市面尚無廠商取得甘藷蟻象費洛蒙的生物農藥許可證。本所僅能免費提供少量甘藷費洛蒙樣品試用。 請傳送為農民之證明文件(如農保證明、農會會員、產銷履歷登錄或有機登錄等)傳真至04-23300945或直接用電子郵件傳送至 fhchen@acri.gov.tw 告知索取品項為甘藷蟻象費洛蒙、收件人、連絡電話及收件地址等資訊進行索取。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b0f10a7c69554176ce771464b8d4536e
003048,藥毒物檢驗,2025/05/13,茶樹與薄荷都是自種農作物，農藥檢驗該送成品或原作物？要送哪個單位？,"有關農藥檢驗樣品應為精油或原作物，建議可以詢問買家需求後再行決定。送檢實驗可至全國認證基金會網站-實驗室認可名錄(https://www.taftw.org.tw/directory/scheme/testLab/search/)項下，查詢可受理農藥殘留檢驗的實驗室，如屬於自主檢驗管理，所需檢體量可與實驗室討論。本所僅提供農作物之農藥殘留檢驗，如有送樣問題歡迎來電詢問04-23302101#424收樣窗口。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b379e5924e8bd05c6a570bb7e574b8d3
003047,作物健康管理與諮詢,2025/05/09,白菜葉背白色凸起物為何？是蟲害還是病害？,"依照片研判應當為白�蚽f。白�蚽f在高濕多雨時藉風雨傳播，釋放出游走孢子囊，伺機侵入寄主之氣孔，感染植株而造成嚴重的病害。請選擇健康之種苗，以減少帶菌的機率；另露水重時注意本病的防範。如有用藥需求請參考十字花科小葉菜類白�蚽f之核准藥劑。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=4037aa9e2cd246fb6dbc7d6952aa4107
003046,作物健康管理與諮詢,2025/05/09,相片中是什麼蟲的卵？,"依據所附的照片，可以看到以下特徵：1.卵產於葉片背面。2.是聚集型卵，約100多顆。3.是小型灰黑色卵，上方有開口。由這些特徵看來，應該是椿象。椿象會利用口器吸食植物的汁液，一般危害較輕微。若希望減少椿象的發生，可配合椿象的生態特性，進行以下處理：1.針對卵：摘除有卵的葉片。2.針對成蟲：在園區設置黃色黏蟲紙，誘引黏附成蟲。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=8c7e08921670b638b0ae44276e0b1080
003045,教育推廣,2025/05/09,114年還會開專業室內設施燻蒸(磷化氫)訓練課程嗎？,"1、本(114)年度各農藥代噴專業訓練課程辦班規劃，係依據去年(113)意願需求等調查並考量辦班成本(報名人數需達20人)後，於當年底送至主管機關防檢署審查核備並據以辦理；專業室內設施燻蒸(磷化氫)訓練，業已於本年度3月27日辦理完成；若有【專業室外土壤燻蒸】需求，請填寫【115年參訓意願實名制調查單】：https://eform.moa.gov.tw/s9pd7f4，俾利今年底規劃115年代噴專業科目訓練課程時，視市場實際代噴需求安排規劃。
2、「代噴共同科目訓練課程」為資格訓練，且依目前訓練辦法規定共同科目及格者需於2年內完成專業技術科目測驗及格，逾期應重新訓練，請多加注意效期。
3、詳細訓練資訊可參考【本所官網-教育訓練】：https://reurl.cc/OjLKmv； 或來電04-23302101分機116  唐先生詢問。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ae42283bae3fc45db01f33a4038d8d17
003044,農藥管理,2025/05/02,化學農藥原體(mesotrione)申請第三條附件二附表一需要執行那些內容，以及依循那些法規？,"一、依農藥許可證申請及核發辦法規定，農藥有效成分未經核准登記為成品農藥者，不得申請農藥原體登記。因此申請農藥原體輸入，如國內尚未有成品農藥加工許可證，則需要有配合的成品農藥加工登記申請案。
二、經查防檢署農藥資訊服務網尚未核准登記「mesotrione」藥劑，因此原體案與成品案需一起備齊「新有效成分」類別之相關理化性、毒理試驗、田間藥效藥害(含登記必要性說明文件)、殘留試驗報告等完整資料，始能正式申請登記。
三、而有機化學農藥原體所需毒理試驗資料，請依《農藥理化性及毒理試驗準則》【第三條附件二】參照登記藥劑類別、「供試樣品」及「備註」欄位說明準備相關試驗資料，另若就該原體已在國外實驗室進行試驗如符合GLP之毒理試驗報告，該報告在台灣是可被接受的，不需重新繳交在國內實驗單位進行的GLP毒理試驗報告。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=8b2cea66442b26f95cd915845f549b44
003043,作物健康管理與諮詢,2025/04/22,這株瑪格麗特得了什麼病？,"從徵狀看比較像是菊科作物的露菌病。露菌病喜歡多濕涼爽的天氣並以水為傳播途徑，建議將病株拔除後維持環境的乾燥，澆水時勿讓土壤太潮濕。另請注意避免施用過量氮肥，增加植株健康度。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=37e687e4b4c7f858ed9ec46106a3e2c3
003042,作物健康管理與諮詢,2025/04/22,樹齡約20年南洋杉從中上段開始枯黃，從靠近主幹處的葉子開始黄化漸漸的往樹枝末端擴散。高處樹幹似乎有白膠流出，下中段的樹幹看不出有異狀，但另一處較年輕的病株則可 看到樹幹明顯受傷流膠。,"從照片看起來樹幹上有些許明顯的孔洞，應當為鞘翅目的昆蟲鑽蛀導致的缺水萎凋，另流膠徵狀為樹木受傷害後產生的保護症狀。因蟲體已蛀入樹幹中，此時用藥防治已過晚，建議砍除才可根絕害蟲的危害，對於附近的其他樹木請預防成蟲產卵於樹幹部，可利用塑膠布等包覆樹基部做物理防治， 阻止成蟲產卵。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=63989efa691f0742a8db7532244a9828
003041,作物健康管理與諮詢,2025/04/16,神秘果5年僅開過一次花，近期葉子尾端一直乾枯為何？,"由提供的神秘果盆栽照片，可能與土壤肥力有關，應適量施用肥料，並將植株更換至較大的盆子栽種，利於植株根部發展及養分之吸收。建議將土讓樣本送轄區改良場檢驗，瞭解需要補充的肥料元素成分。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=35dbbc234f78464dd101b2d4183f88bf
003040,無人機藥劑理化性質,2025/04/16,比拉芬除草劑對於種植蓮藕產業超受影響，建議除草劑不能以植保無人機進行作業。,"蓮藕田因鄰近水稻田以無人機噴施比拉芬除草劑，藥劑飄散造成蓮藕產量降低。且目前正值水稻田第2期作是施用除草劑之時機，也是蓮藕的生長季節，因此訴求'禁止無人機施用除草劑'。由於本所為技術研究單位，且未取得該地地區蓮藕相關農藥檢驗分析種類，無法判定是否與除草機有關，我們已將訴求及關注部分轉請農藥管理的主管機關「動植物防疫檢疫署」研議相關規範。並針對「無人機施用除草劑」問題，本所在技術面上將於編纂《農噴無人機UAV空中施作規範及基本施藥指引》中納入無人機不建議用於施用除草劑類藥劑，持續推動正確且合規之無人機施藥技術。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=28a6eafceae316236b188a429f1e3201
003039,雜草防治,2025/04/16,木賊草有何方法能全部連根防除？以前是用巴拉刈噴除，只是地上部有噴到的枯白，但是地下部分是活的 。目前田埂草用固殺草200cc+剋草同70cc混20公升的水噴，也是地上部有噴到的變黑色或枯白，但是地下根...,"建議可施用系統性的除草劑(如:二、四－地、伏寄普、百速隆、嘉磷塞)。可在修剪木賊後(製造傷口)，以嘉磷塞及2,4-D施用。前述除草劑皆為萌後型除草劑，施用時勿噴及作物，以免發生藥害。另，使用前述之除草劑前，應先確認該雜草生長於何種作物田或非耕作農地，並請依農業部公告之藥劑使用範圍及方法施用除草劑，建議可查詢農藥資訊服務網(https://pesticide.baphiq.gov.tw/web/Insecticides_MenuItem1.aspx )或植物保護資訊系統(https://otserv2.acri.gov.tw/PPM/  )。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=8562949a14fdc81a4d496a26340a35d3
003038,食品安全,2025/04/16,吲哚乙酸用於農作物是否有法規規定？國外的農產品(青花菜)有檢驗出吲哚乙酸，是否能進口至台灣？,"1.吲哚乙酸（3-Indoleacetic acid, IAA）目前在國內並未被廠商申請登記為「植物生長調節劑」，爰於國內種植之農作物無使用方法。
2.農藥殘留容許量標準及進口農產品之品質管制為衛生福利部食品藥物管理署業管，建請逕洽食藥署詢問。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=99a3728785c7c002882a1e1e3666f2c8
003037,農藥管理,2025/04/07,查詢農藥各項資訊的網頁能否增加農藥的更新項目查詢，以便於立即得知哪些藥的資訊有更新？,"有關本所植物保護資訊系統的農藥資訊更新，主要依據防檢署公告的新增或修正內容，包括農藥使用方法及使用範圍。若您希望即時掌握最新的農藥更新資訊，建議可至防檢署農藥資訊服務網（農藥公告查詢）(網址：https://pesticide.aphia.gov.tw/information/Data/News#)，該網站提供最新公告，方便查閱相關內容。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=cd378f3708af272138cc495b995738b2
